generation,elite_fitness,mean_fitness,elite_fitness,elite_min_radius,elite_highest_platform_reached,elite_mountain_collision_ratio,elite_flying_ratio,elite_wall_proximity_ratio,elite_long_path_ratio,elite_total_motor_effort,elite_useless_motor_effort,elite_links,mean_min_radius,mean_highest_platform_reached,mean_mountain_contact_ratio,mean_flying_ratio,mean_wall_proximity_ratio,mean_long_path_ratio,mean_total_motor_effort,mean_useless_motor_effort,mean_links
0,0.0,0.0,0.0,5.95340467857098,4.440892098500626e-16,0.002916666666666667,0.0,0.3095833333333333,9.910989888425885,4167.187214544247,12032.505604293008,5.0,6.34497575091242,0.06481994975174792,0.008416666666666666,0.0677361111111111,0.18630555555555559,10.21516227066716,5082.163481904267,8048.037758342959,8.366666666666667
1,6940.66681038979,231.35556034632634,6940.66681038979,5.928722906142693,0.08053805685940763,0.16083333333333333,0.0,0.0,2.6246668156812296,2989.215209851673,6749.974735351204,4.0,6.556735232794917,0.020219401725249882,0.022750000000000003,0.0051111111111111105,0.12908333333333333,5.3083519070196115,4301.474926576409,11395.47702806409,4.833333333333333
2,27759.767175865454,2681.3886321928567,27759.767175865454,6.099927726395676,2.220446049250313e-16,0.49875,0.0,0.0,1.3749879891943635,1200.0,0.0,3.0,6.547443592910228,0.01846482159130303,0.07444444444444445,0.0029444444444444444,0.17320833333333333,3.140494568055641,3639.159126934694,9232.2001428721,3.8333333333333335
3,31422.669466258558,4214.139367623926,31422.669466258558,5.375029437494908,4.440892098500626e-16,0.34125,0.0,0.0,1.443333372562698,1725.7058741380652,615.5536812147825,3.0,6.670795956386352,0.011785242400483788,0.04926388888888889,0.0007083333333333334,0.13368055555555555,2.120659249619989,2938.6397440185956,7442.622713771034,3.1333333333333333
4,31422.669466258558,3896.6848430381547,31422.669466258558,5.375029437494908,4.440892098500626e-16,0.34125,0.0,0.0,1.443333372562698,1725.7058741380652,615.5536812147825,3.0,6.807388970105525,0.009089286398851685,0.03886111111111112,0.004111111111111111,0.07491666666666667,1.7154207340020176,3283.9657040427414,8583.953358940307,2.8666666666666667
5,31422.669466258558,2201.734305308184,31422.669466258558,5.375029437494908,4.440892098500626e-16,0.34125,0.0,0.0,1.443333372562698,1725.7058741380652,615.5536812147825,3.0,7.049684950938355,2.7385501274087196e-16,0.012902777777777779,0.0,0.041263888888888885,1.5330518264885253,2294.2350018923016,4467.930988876758,2.566666666666667
6,32473.664625380385,5671.017241660286,32473.664625380385,5.62775195654438,2.220446049250313e-16,0.19375,0.0,0.0,1.4695960717259713,1286.0683693145609,0.0,3.0,6.908954423666242,0.007087272859693028,0.07027777777777779,0.0,0.0175,1.592531259961924,2876.259520500056,7939.151608260868,2.466666666666667
7,32473.664625380385,3209.130283766,32473.664625380385,5.62775195654438,2.220446049250313e-16,0.19375,0.0,0.0,1.4695960717259713,1286.0683693145609,0.0,3.0,6.951767911522459,3.885780586188048e-16,0.010916666666666667,0.013777777777777778,0.096,1.8511843786626394,2498.0070043385476,4308.997661386704,3.0
8,32473.664625380385,3171.3295155673018,32473.664625380385,5.62775195654438,2.220446049250313e-16,0.19375,0.0,0.0,1.4695960717259713,1286.0683693145609,0.0,3.0,7.027937581101515,0.01575506157216562,0.013625,0.0,0.03136111111111111,0.756243454195716,1524.909247987013,1553.6083744356472,2.6
9,32473.664625380385,3217.4671248001396,32473.664625380385,5.62775195654438,2.220446049250313e-16,0.19375,0.0,0.0,1.4695960717259713,1286.0683693145609,0.0,3.0,7.020021482123895,2.7015426932545474e-16,0.01173611111111111,0.0012361111111111112,0.10155555555555557,2.551548334339531,1604.0515892727888,1155.5518805827353,2.466666666666667
10,32473.664625380385,1396.3588954592158,32473.664625380385,5.62775195654438,2.220446049250313e-16,0.19375,0.0,0.0,1.4695960717259713,1286.0683693145609,0.0,3.0,6.997504039241426,2.4054832200211723e-16,0.012763888888888889,0.0,0.02409722222222222,1.810375057726649,1671.5664536116094,1912.5292010586932,2.5
11,34500.44524731055,4615.281167776496,34500.44524731055,5.5262936531358475,2.220446049250313e-16,0.1725,0.0,0.0,1.4175663057399528,1286.0683693145609,0.0,3.0,6.5954426586348065,0.002888673102714617,0.027180555555555555,0.0012361111111111112,0.04072222222222222,1.9233999356573392,1756.058610523738,1653.1394495016134,2.9
12,34500.44524731055,4012.43749653479,34500.44524731055,5.5262936531358475,2.220446049250313e-16,0.1725,0.0,0.0,1.4175663057399528,1286.0683693145609,0.0,3.0,6.957461338371352,2.516505522483688e-16,0.008680555555555554,0.0009583333333333334,0.05336111111111111,1.20048842303221,1677.7471824230884,1545.3181242632095,2.8333333333333335
13,40485.24279065188,4532.534873310765,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.698404203397716,2.627527824946204e-16,0.012,0.0009444444444444445,0.09569444444444444,1.6502024340950583,1597.0757202620398,1004.7279172212527,2.7
14,40485.24279065188,4201.814127087452,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,7.02396570812031,0.01009236786579534,0.0009027777777777778,0.0017916666666666667,0.10605555555555556,1.2490555313835723,1749.4539816879021,1764.0252420160734,2.8
15,40485.24279065188,4943.739206891002,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.950597360834866,3.4046839421838136e-16,0.0056388888888888895,0.0049027777777777785,0.10122222222222223,2.537607651741864,1624.372885098364,2097.5129182829646,2.6333333333333333
16,40485.24279065188,4365.429826372918,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,7.017869134270312,2.55351295663786e-16,0.004722222222222222,0.0030416666666666665,0.05122222222222222,1.1425968018269224,1033.6614513905802,354.5082156236714,2.2666666666666666
17,40485.24279065188,7122.854893119294,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.781420472201747,0.006796005147606558,0.03293055555555556,0.0,0.05825,1.4370399164911745,1354.9070523687838,1013.3258298840913,2.466666666666667
18,40485.24279065188,6662.920715985046,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.9367556756244335,2.294460917558657e-16,0.008486111111111111,0.0,0.03965277777777778,0.894707453567125,1100.2455390015846,511.0084924812935,2.3666666666666667
19,40485.24279065188,7029.337860957272,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.822601080298525,2.590520390792032e-16,0.0027916666666666667,0.0,0.11581944444444445,1.32027289066264,1337.114419758466,794.1252778506714,2.5
20,40485.24279065188,3608.993592126328,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,7.047038257047816,0.005095119401236411,0.0018750000000000001,0.0,0.018583333333333334,0.7960113114459112,1475.3956885163125,2120.9579925017038,2.433333333333333
21,40485.24279065188,4887.168326071054,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.969738094389084,2.4424906541753446e-16,0.004708333333333333,0.0,0.025361111111111112,1.0314048150993387,1321.8942500659714,1105.23952812225,2.2666666666666666
22,40485.24279065188,4115.626789583548,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,7.066214324020344,2.7385501274087196e-16,0.007583333333333333,0.002861111111111111,0.08272222222222222,1.1301188607098378,1179.2798335620896,732.0650697200224,2.4
23,40485.24279065188,7364.491749836017,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.845503254441568,2.627527824946204e-16,0.006208333333333334,0.0031805555555555554,0.07552777777777779,1.247504667241686,1246.777012048611,598.1036772453875,2.466666666666667
24,40485.24279065188,5360.915018367515,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.800680087717018,2.331468351712829e-16,0.01573611111111111,0.0,0.04343055555555555,1.2889228837658833,1186.9975536213412,527.5042818276139,2.8333333333333335
25,40485.24279065188,7534.192475287082,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.8871446236651455,2.4794980883295163e-16,0.03934722222222222,0.0,0.016458333333333332,1.2308966275692075,1244.157708150951,694.7433186852542,2.4
26,40485.24279065188,6791.600094520686,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.981676793441818,2.331468351712829e-16,0.034861111111111114,0.0,0.09774999999999999,1.735423808462921,1185.9248828926172,912.4145068861576,2.466666666666667
27,40485.24279065188,8286.946000292386,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.847333049021434,2.331468351712829e-16,0.04577777777777778,0.0,0.07208333333333333,1.3041025529254273,995.3966296317619,17.26695828350298,2.5
28,40485.24279065188,4966.927468504134,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.86098277570252,0.0590838612897318,0.027250000000000003,0.004375,0.05661111111111112,1.498316948117411,1305.3681121758661,381.72192428874257,2.466666666666667
29,40485.24279065188,8846.604477958746,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.671964288451346,2.590520390792032e-16,0.01788888888888889,0.0,0.027458333333333338,2.185990893266253,1123.7642695804295,108.27399106844828,2.7
30,40485.24279065188,5354.684632251916,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.983976257704632,0.00020240675670800585,0.010583333333333333,0.0,0.035472222222222224,0.7366322631127141,1136.070805658342,394.6492249135523,2.4
31,40485.24279065188,6522.155145970176,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.945682302286776,2.4794980883295163e-16,0.02352777777777778,0.0,0.04030555555555556,0.9609245073993271,1200.7141364209194,813.6277235027404,2.6333333333333333
32,40485.24279065188,3585.269046295703,40485.24279065188,5.279555228012131,2.220446049250313e-16,0.0,0.0,0.0,1.1693156795654343,982.6585022306109,0.0,3.0,6.807038125309505,2.55351295663786e-16,0.01173611111111111,0.00015277777777777777,0.05370833333333334,1.696301682896027,1504.980896130478,1578.4850532750047,2.8
33,42096.33332687058,8685.058757351291,42096.33332687058,5.154320105571667,1.3877787807814457e-16,0.029583333333333333,0.0,0.0,1.2018898411974321,982.6585022306109,0.0,3.0,6.6631977288096325,0.01266178704153006,0.026972222222222224,0.0,0.12041666666666666,1.740531597589015,1105.1235769531152,455.3862868070641,2.7333333333333334
34,42096.33332687058,7809.047456664711,42096.33332687058,5.154320105571667,1.3877787807814457e-16,0.029583333333333333,0.0,0.0,1.2018898411974321,982.6585022306109,0.0,3.0,6.638262281188278,0.0018601846660229137,0.027652777777777773,0.002625,0.03729166666666666,1.8163270549260908,1235.790063265352,315.6654854826625,3.033333333333333
35,42096.33332687058,6059.116938838104,42096.33332687058,5.154320105571667,1.3877787807814457e-16,0.029583333333333333,0.0,0.0,1.2018898411974321,982.6585022306109,0.0,3.0,6.833149897577948,2.4517425127138875e-16,0.022319444444444444,0.0,0.06259722222222222,1.369764300426564,1178.2060136501182,269.36318339850897,2.8
36,42096.33332687058,8616.713483441614,42096.33332687058,5.154320105571667,1.3877787807814457e-16,0.029583333333333333,0.0,0.0,1.2018898411974321,982.6585022306109,0.0,3.0,6.636113789942574,2.7200464103316337e-16,0.021361111111111112,0.0,0.03263888888888889,1.7152127708523501,1153.3538172863105,134.35404904504458,2.6333333333333333
37,42096.33332687058,3204.642667446419,42096.33332687058,5.154320105571667,1.3877787807814457e-16,0.029583333333333333,0.0,0.0,1.2018898411974321,982.6585022306109,0.0,3.0,6.916874315843556,2.525757381022231e-16,0.004472222222222222,0.002694444444444444,0.06345833333333334,2.3092425322613166,1458.3837840804429,1220.8536757680088,2.8666666666666667
38,42096.33332687058,5358.6786700105,42096.33332687058,5.154320105571667,1.3877787807814457e-16,0.029583333333333333,0.0,0.0,1.2018898411974321,982.6585022306109,0.0,3.0,6.900617246099111,2.340720210251372e-16,0.008,0.0,0.03791666666666667,1.4415531560614878,1303.7622914379724,1257.170339160578,2.8
39,42096.33332687058,8039.3447008743415,42096.33332687058,5.154320105571667,1.3877787807814457e-16,0.029583333333333333,0.0,0.0,1.2018898411974321,982.6585022306109,0.0,3.0,6.702473004458574,2.89583172256395e-16,0.017236111111111112,0.006833333333333333,0.050847222222222224,1.1329562134403703,1302.5510824475466,771.817925157587,2.966666666666667
40,42096.33332687058,8219.37891466648,42096.33332687058,5.154320105571667,1.3877787807814457e-16,0.029583333333333333,0.0,0.0,1.2018898411974321,982.6585022306109,0.0,3.0,6.742707281578082,2.3777276444055435e-16,0.02613888888888889,0.0,0.04474999999999999,1.235262772336052,1200.0200422424166,268.0218009450302,2.8
41,42096.33332687058,7347.2422908839635,42096.33332687058,5.154320105571667,1.3877787807814457e-16,0.029583333333333333,0.0,0.0,1.2018898411974321,982.6585022306109,0.0,3.0,6.794332574085832,0.0026710825078541845,0.006652777777777777,0.0,0.094375,1.277669887894096,1267.1087166492496,569.171702912476,2.533333333333333
42,42096.33332687058,5964.227089477963,42096.33332687058,5.154320105571667,1.3877787807814457e-16,0.029583333333333333,0.0,0.0,1.2018898411974321,982.6585022306109,0.0,3.0,6.74423190360872,3.1548837616431533e-16,0.011638888888888888,0.006,0.13319444444444445,1.196753724008746,1640.302232374183,1370.2685214770986,3.0
43,42096.33332687058,6873.543706571288,42096.33332687058,5.154320105571667,1.3877787807814457e-16,0.029583333333333333,0.0,0.0,1.2018898411974321,982.6585022306109,0.0,3.0,6.720530201984307,2.4702462297909734e-16,0.017652777777777778,0.0,0.065375,2.2281318407054047,1703.7989528752391,2171.448942967954,3.1333333333333333
44,42096.33332687058,6350.740659480804,42096.33332687058,5.154320105571667,1.3877787807814457e-16,0.029583333333333333,0.0,0.0,1.2018898411974321,982.6585022306109,0.0,3.0,6.832088472675901,0.008456468158842819,0.011250000000000001,0.0,0.03677777777777778,1.2975877050853346,1228.2937886088346,591.7476602684649,2.8666666666666667
