generation,elite_fitness,mean_fitness,elite_fitness,elite_min_radius,elite_highest_platform_reached,elite_mountain_collision_ratio,elite_flying_ratio,elite_wall_proximity_ratio,elite_long_path_ratio,elite_total_motor_effort,elite_useless_motor_effort,elite_links,mean_min_radius,mean_highest_platform_reached,mean_mountain_contact_ratio,mean_flying_ratio,mean_wall_proximity_ratio,mean_long_path_ratio,mean_total_motor_effort,mean_useless_motor_effort,mean_links
0,0.0,0.0,0.0,6.699879940232993,4.440892098500626e-16,0.04708333333333333,0.0,0.0,3.727880564861304,2262.9879034947126,983.5747590701707,4.0,6.498511341934068,0.011622683193040651,0.007319444444444445,0.04122222222222222,0.23669444444444443,5.09185451827504,5030.763227045961,12084.629649352784,4.166666666666667
1,8745.375096275095,291.51250320916984,8745.375096275095,6.046109739434651,0.11468931637834323,0.08708333333333333,0.0,0.0,3.695625468644754,4310.440396395451,11286.50133639126,3.0,6.835444890124872,0.007283854159821353,0.009874999999999998,0.0015416666666666667,0.19279166666666664,5.2510509147338515,2264.9962842995415,1903.2915523822803,4.533333333333333
2,22652.763030083668,6336.909933689865,22652.763030083668,5.5472264289159785,2.220446049250313e-16,0.3754166666666667,0.0,0.0,1.2059903202607851,4310.440396395451,13862.642378371997,3.0,6.4424725389238775,0.06741323917143563,0.13266666666666665,0.0,0.11734722222222223,1.9439994862043481,3322.983320565933,7956.7216789038,3.0
3,22652.763030083668,6971.47731629035,22652.763030083668,5.5472264289159785,2.220446049250313e-16,0.3754166666666667,0.0,0.0,1.2059903202607851,4310.440396395451,13862.642378371997,3.0,6.570086639252461,0.0414768741252763,0.13156944444444446,0.0,0.11423611111111111,1.6087201878129125,3404.6173894312183,9127.164003917735,3.0
4,25450.18183216708,5623.609237448162,25450.18183216708,5.529577736040797,2.220446049250313e-16,0.31166666666666665,0.0,0.0,1.1675586273337881,4310.440396395451,13862.642378371997,3.0,6.501178129581922,0.05925208256212365,0.12859722222222222,0.0,0.15544444444444444,1.9198042306183047,3746.382512282659,11041.92870415728,3.0
5,28286.362811387324,8191.322876806038,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.330358467129515,0.07341348784587393,0.1392361111111111,0.0,0.0844861111111111,2.077886118856014,3706.409792071508,10393.585988641222,3.0
6,28286.362811387324,8434.02319317419,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.282874399113179,0.05367111947577006,0.13055555555555556,0.0,0.08154166666666668,2.1762687695228595,3548.1373803528277,9538.960063436769,3.0
7,28286.362811387324,11323.133789687161,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.127948930108638,0.018471043213769914,0.14193055555555556,0.0,0.0913888888888889,1.9624349832355958,3631.8267957337366,10320.912968864106,3.0
8,28286.362811387324,8288.288758286597,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.245493730577964,0.03280288855733694,0.13979166666666665,0.0,0.10545833333333335,1.4837442730800725,3913.4150173704143,11920.385788402591,3.0
9,28286.362811387324,11397.793903490763,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.094529795386136,0.056145592020671375,0.15802777777777774,0.0,0.06826388888888889,2.17765109804985,3837.53317451388,11094.080804759908,3.0
10,28286.362811387324,13612.372428361961,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.012005071757741,0.041231491603520416,0.1839027777777778,0.0,0.04927777777777778,1.9289000110798367,3561.6196456149764,9560.932939994189,3.0
11,28286.362811387324,15758.967378768766,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,5.8256969575087245,0.012112124174829219,0.21004166666666668,0.0,0.0,1.3479522260663541,3629.028164013827,10012.56652389557,3.0
12,28286.362811387324,11171.236377294921,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.362564587114219,0.02243609005044254,0.11825,0.0,0.08913888888888888,1.7635661293133997,3166.8267697447677,7867.465038808931,3.0
13,28286.362811387324,17812.641813013124,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,5.849983440686228,0.01327083746718766,0.19295833333333332,0.0,0.028930555555555557,1.4769751328366907,3625.4827038529847,9547.71682811235,3.0
14,28286.362811387324,13396.144068285203,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.088569327333559,0.03267408011752879,0.1908611111111111,0.0,0.06377777777777778,2.0644076273937575,3663.4872987530002,10029.397525141643,3.0
15,28286.362811387324,14684.4592508709,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.029604098667346,0.026713044559353662,0.18477777777777782,0.0,0.04884722222222222,1.5888614287020109,3328.230986208839,7984.721367145099,3.0
16,28286.362811387324,14721.95369306611,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,5.9323971338691655,0.04719770336036246,0.1809444444444445,0.0,0.021583333333333333,2.204701163845905,3571.2782830904125,9219.748341993982,3.0
17,28286.362811387324,12423.481868877752,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.032185438413976,0.04715880181358012,0.16023611111111116,0.0,0.06741666666666667,1.523384256875327,3857.949662357527,11073.42545126254,3.0
18,28286.362811387324,13877.57225727485,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.074933498076848,0.02467667012616733,0.18936111111111106,0.0,0.05559722222222222,1.339920903627462,3460.3344093281703,8924.717352105816,3.0
19,28286.362811387324,10443.702075061987,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.476107645449775,0.02156519597548294,0.1479861111111111,0.0,0.05095833333333334,1.4859426514460907,2987.764279574629,6713.519875297249,3.0
20,28286.362811387324,13448.431221625327,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.079242798298703,0.032490378173069615,0.1965138888888889,0.0,0.04573611111111111,1.8352362584065065,3471.6612912935907,9307.403034035358,3.0
21,28286.362811387324,16041.658318003407,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,5.849888554546714,0.04620660000215377,0.18455555555555553,0.0,0.016625,1.5946291868375646,3804.6407042195056,10659.507562857392,3.0
22,28286.362811387324,14873.245418375614,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.062311789699469,0.03899980738648456,0.17961111111111108,0.0,0.08429166666666665,1.6104503783328108,3311.5780057422025,8111.366403007079,3.0
23,28286.362811387324,14328.992682428598,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,6.088439762079631,0.017561336266624775,0.20359722222222226,0.0,0.05463888888888889,1.5508299487987278,3446.486019493035,9000.643434560134,3.0
24,28286.362811387324,19745.84177075066,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,5.814018733214398,0.01671694457664904,0.23045833333333335,0.0,0.03755555555555556,1.3052450412045007,3347.5938086479077,8067.691215952259,3.0
25,28286.362811387324,14935.611349216804,28286.362811387324,5.507977040562944,2.220446049250313e-16,0.2525,0.0,0.0,1.1795297380107241,3016.649886579228,6097.357694759244,3.0,5.911917763543857,0.030684578348777358,0.20408333333333334,0.0,0.02133333333333333,1.926837114016151,3641.2597835250635,9376.203123947931,3.0
26,28601.277849622926,17572.474838595077,28601.277849622926,5.4982871950953225,2.220446049250313e-16,0.08708333333333333,0.0,0.0,1.2181903285111013,2808.947161811309,4851.66060296349,3.0,5.789000603152887,0.0029452427855950294,0.26066666666666666,0.0,0.0015138888888888888,1.393312475582958,3578.075716037254,9374.55345197416,3.0
27,28601.277849622926,12385.921729296268,28601.277849622926,5.4982871950953225,2.220446049250313e-16,0.08708333333333333,0.0,0.0,1.2181903285111013,2808.947161811309,4851.66060296349,3.0,6.156380725569659,0.015080957151635129,0.17270833333333338,0.0,0.06180555555555556,1.7919668972501734,3489.956534447999,9119.721666762905,3.0
