generation,elite_fitness,mean_fitness,elite_fitness,elite_min_radius,elite_highest_platform_reached,elite_mountain_collision_ratio,elite_flying_ratio,elite_wall_proximity_ratio,elite_long_path_ratio,elite_total_motor_effort,elite_useless_motor_effort,elite_links,mean_min_radius,mean_highest_platform_reached,mean_mountain_contact_ratio,mean_flying_ratio,mean_wall_proximity_ratio,mean_long_path_ratio,mean_total_motor_effort,mean_useless_motor_effort,mean_links
0,25537.024795611807,840.9736222889458,25537.024795611807,5.903899845405563,3.3306690738754696e-16,0.07208333333333333,0.0,0.0,1.6397553714729114,1855.2150547030312,1314.4367567663392,3.0,6.567321022152986,0.10155903900635714,0.010716666666666666,0.07140833333333334,0.207,6.646770895284701,4771.108085791054,10067.623569431356,3.96
1,25537.024795611807,1747.3169100683817,25537.024795611807,5.903899845405563,3.3306690738754696e-16,0.07208333333333333,0.0,0.0,1.6397553714729114,1855.2150547030312,1314.4367567663392,3.0,6.793802857578365,0.005909980865397132,0.016433333333333335,0.0020583333333333335,0.14785,3.6884875047405323,3910.2205046307768,10859.391040285589,3.14
2,25855.75246874491,3109.829487461159,25855.75246874491,5.6800166161114936,2.220446049250313e-16,0.04791666666666667,0.0,0.0,1.8487837414029433,1593.6594067595927,0.0,2.0,6.7089079222807975,0.0065022162986824224,0.031175000000000005,0.010625,0.09678333333333333,2.098519932926246,2923.0932530038635,6674.912291314464,2.82
3,37188.45197559174,4672.192377223493,37188.45197559174,5.21700274772603,4.440892098500626e-16,0.25416666666666665,0.0,0.0,1.4153722589412983,1593.6594067595927,0.0,2.0,6.655292634046507,3.530509218307998e-16,0.03750833333333334,0.0049833333333333335,0.07828333333333332,2.4938640204768987,2933.082402721384,7081.805342062057,2.78
4,37188.45197559174,2558.7778381376015,37188.45197559174,5.21700274772603,4.440892098500626e-16,0.25416666666666665,0.0,0.0,1.4153722589412983,1593.6594067595927,0.0,2.0,6.976406882164051,0.0006051464897489401,0.03236666666666667,0.0,0.09983333333333333,1.5360619394147494,2819.454532633305,7902.803203141081,2.24
5,37188.45197559174,2543.812379782424,37188.45197559174,5.21700274772603,4.440892098500626e-16,0.25416666666666665,0.0,0.0,1.4153722589412983,1593.6594067595927,0.0,2.0,6.9587918689740365,2.9087843245179103e-16,0.047391666666666665,0.0,0.09959166666666665,1.6140855060333263,2862.2494489275614,8204.275070667238,2.02
6,37188.45197559174,3916.1517954929777,37188.45197559174,5.21700274772603,4.440892098500626e-16,0.25416666666666665,0.0,0.0,1.4153722589412983,1593.6594067595927,0.0,2.0,6.942271805276555,0.00019218890830155974,0.021475,0.005975,0.061883333333333325,2.151963340184178,2289.8962213057334,4517.084662510206,2.12
7,37188.45197559174,3340.211554085093,37188.45197559174,5.21700274772603,4.440892098500626e-16,0.25416666666666665,0.0,0.0,1.4153722589412983,1593.6594067595927,0.0,2.0,7.059268290369808,0.007347903977994055,0.04353333333333333,0.0,0.100425,1.509478930562358,2163.805073522946,4912.997562984479,2.04
8,37188.45197559174,4933.948362536227,37188.45197559174,5.21700274772603,4.440892098500626e-16,0.25416666666666665,0.0,0.0,1.4153722589412983,1593.6594067595927,0.0,2.0,6.950900501183234,0.0011546732005615502,0.029483333333333334,0.0022500000000000003,0.07355833333333334,1.6998606458145837,2979.9580392523435,8784.701653780165,2.04
9,37188.45197559174,3543.623446362881,37188.45197559174,5.21700274772603,4.440892098500626e-16,0.25416666666666665,0.0,0.0,1.4153722589412983,1593.6594067595927,0.0,2.0,6.995514187654041,3.3219547430476946e-07,0.035758333333333336,0.0,0.047016666666666665,2.2882460457718783,3298.7767374347222,9893.105420504548,2.1
10,37188.45197559174,3486.1401846492595,37188.45197559174,5.21700274772603,4.440892098500626e-16,0.25416666666666665,0.0,0.0,1.4153722589412983,1593.6594067595927,0.0,2.0,7.02750376250435,1.4804530359071936e-05,0.031641666666666665,0.008916666666666666,0.121575,2.2645121860364776,4231.699566991931,14560.953774098076,2.42
11,37188.45197559174,4103.596331839341,37188.45197559174,5.21700274772603,4.440892098500626e-16,0.25416666666666665,0.0,0.0,1.4153722589412983,1593.6594067595927,0.0,2.0,7.070718278009986,3.26405569239796e-16,0.05400833333333333,0.001475,0.10795,1.6115589731096762,3120.9517844190377,9401.362931895423,2.08
12,37188.45197559174,2785.68297785662,37188.45197559174,5.21700274772603,4.440892098500626e-16,0.25416666666666665,0.0,0.0,1.4153722589412983,1593.6594067595927,0.0,2.0,6.932105461239543,0.03992394676151216,0.0378,0.002583333333333333,0.06785833333333334,1.9883278552167158,3347.4859832094003,8983.722245354285,2.06
13,37188.45197559174,4378.670756785507,37188.45197559174,5.21700274772603,4.440892098500626e-16,0.25416666666666665,0.0,0.0,1.4153722589412983,1593.6594067595927,0.0,2.0,6.914771714195076,0.018245624596890008,0.05660833333333333,0.008225000000000001,0.05307499999999999,1.9053158998424953,3748.0329573275953,10457.328136842265,2.26
