generation,elite_fitness,mean_fitness,elite_fitness,elite_min_radius,elite_highest_platform_reached,elite_mountain_collision_ratio,elite_flying_ratio,elite_wall_proximity_ratio,elite_long_path_ratio,elite_total_motor_effort,elite_useless_motor_effort,elite_links,mean_min_radius,mean_highest_platform_reached,mean_mountain_contact_ratio,mean_flying_ratio,mean_wall_proximity_ratio,mean_long_path_ratio,mean_total_motor_effort,mean_useless_motor_effort,mean_links
0,0.0,0.0,0.0,6.539308847232832,6.661338147750939e-16,0.00125,0.050833333333333335,0.25583333333333336,5.892227506760845,3410.7201882195886,1539.785407469435,4.0,6.72867942867281,0.051527630685202656,0.004291666666666667,0.0413888888888889,0.17688888888888885,5.365329021491467,4863.659358671742,11344.640323993679,3.966666666666667
1,0.0,0.0,0.0,6.539308847232832,6.661338147750939e-16,0.00125,0.050833333333333335,0.25583333333333336,5.892227506760845,3410.7201882195886,1539.785407469435,4.0,6.548499105165605,0.052345961783042835,0.005277777777777778,0.056680555555555553,0.26634722222222224,12.824079673853765,4259.197987408619,5845.223865716513,3.7333333333333334
2,0.0,0.0,0.0,6.539308847232832,6.661338147750939e-16,0.00125,0.050833333333333335,0.25583333333333336,5.892227506760845,3410.7201882195886,1539.785407469435,4.0,6.438176823601167,0.06112280702510585,0.0053055555555555555,0.08541666666666667,0.3027916666666666,10.411921874265747,4592.880765524809,6251.953220838882,3.6
3,9148.420391465585,304.94734638218614,9148.420391465585,6.181709054406127,2.220446049250313e-16,0.53625,0.0,0.0,2.668586989330637,1916.8417332676838,1756.3530964427073,4.0,6.456114578938673,0.08689110839885869,0.021555555555555557,0.048513888888888884,0.26209722222222226,9.18600209828694,3896.6821645275513,5075.474270787661,3.8333333333333335
4,11963.518957863624,1244.4961966952535,11963.518957863624,5.5417249963206645,2.220446049250313e-16,0.3625,0.0,0.0,1.8549685341444586,2858.3984650381076,6691.6660268366095,5.0,6.532625722657144,0.011555907464973703,0.07376388888888888,0.005763888888888889,0.13693055555555558,3.8655442449054918,3575.0989188111516,8858.456351791761,3.6666666666666665
5,32412.31490999797,3713.793356570486,32412.31490999797,5.801226716021607,3.3306690738754696e-16,0.7983333333333333,0.0,0.0,1.4932798792330684,1209.7447757860994,0.0,2.0,6.5582772851928155,0.02211633499884669,0.08275,0.016180555555555556,0.0944027777777778,2.6545728451023733,2092.8105828876323,4627.733990196874,3.3333333333333335
6,38221.44442713425,5975.701648340255,38221.44442713425,5.622948426773878,2.220446049250313e-16,0.645,0.0,0.0,1.1866102687951408,1209.7447757860994,0.0,2.0,6.95452031122824,0.005402719136553502,0.13145833333333334,0.006430555555555556,0.08505555555555556,1.776772365112916,1623.069972048532,2751.6047851315675,2.533333333333333
7,38221.44442713425,7510.733774600571,38221.44442713425,5.622948426773878,2.220446049250313e-16,0.645,0.0,0.0,1.1866102687951408,1209.7447757860994,0.0,2.0,6.857928743623634,3.478698810492157e-16,0.09523611111111112,0.008513888888888889,0.03709722222222222,1.35193385231308,1538.053995102621,2078.2388602704987,2.7666666666666666
8,38221.44442713425,4154.65716020398,38221.44442713425,5.622948426773878,2.220446049250313e-16,0.645,0.0,0.0,1.1866102687951408,1209.7447757860994,0.0,2.0,6.9464938844686435,3.108624468950438e-16,0.0770972222222222,0.0045694444444444446,0.05006944444444445,1.8065203952507025,1718.0369048039136,2050.63132590833,2.2666666666666666
9,38221.44442713425,6228.618749928654,38221.44442713425,5.622948426773878,2.220446049250313e-16,0.645,0.0,0.0,1.1866102687951408,1209.7447757860994,0.0,2.0,6.785958741131063,0.003016704467228261,0.06163888888888889,0.0005833333333333334,0.07780555555555554,1.0657532537200702,1826.5371338575924,2670.421587571678,2.566666666666667
